trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'e': 0.96218, 'a': 0.38}",20,0,-37.012984897218445,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
62,False,"{'e': 0.96094, 'a': 0.38}",20,0,-141.53345034742222,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
63,False,"{'e': 0.95968, 'a': 0.38}",35,0,-40.679825046206176,"{0: 26, 1: 5, 2: 3, 3: 1, 4: 0}",0
64,False,"{'e': 0.9584, 'a': 0.38}",30,0,-129.67516325841055,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
65,False,"{'e': 0.9571000000000001, 'a': 0.38}",20,0,-168.19319340988937,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
66,False,"{'e': 0.9557800000000001, 'a': 0.38}",35,18,-80.31433008358823,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
67,False,"{'e': 0.9544400000000001, 'a': 0.38}",30,0,-147.26249990441588,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
68,False,"{'e': 0.95308, 'a': 0.38}",20,11,-17.544982546298293,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
69,False,"{'e': 0.9517, 'a': 0.38}",20,0,-96.1411725770962,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
70,False,"{'e': 0.9503, 'a': 0.38}",25,0,-71.7876698504686,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
71,False,"{'e': 0.9488800000000001, 'a': 0.38}",30,0,-181.34990131002712,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
72,False,"{'e': 0.9474400000000001, 'a': 0.38}",20,14,3.8521366454286516,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.94598, 'a': 0.38}",30,0,-105.1635776923151,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
74,False,"{'e': 0.9445, 'a': 0.38}",25,0,-109.99149631707093,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
75,False,"{'e': 0.9430000000000001, 'a': 0.38}",25,0,-152.30520523133328,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
76,False,"{'e': 0.9414800000000001, 'a': 0.38}",25,0,-120.31377732464833,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
77,False,"{'e': 0.9399400000000001, 'a': 0.38}",25,0,-169.2643691546547,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
78,False,"{'e': 0.9383800000000001, 'a': 0.38}",25,0,-131.77224388181583,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
79,False,"{'e': 0.9368000000000001, 'a': 0.38}",25,0,-161.35056228882797,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
80,False,"{'e': 0.9352, 'a': 0.38}",25,0,-82.83395180955468,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
81,False,"{'e': 0.9335800000000001, 'a': 0.38}",20,0,-138.65294180986078,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
82,False,"{'e': 0.9319400000000001, 'a': 0.38}",20,0,-124.69634486198474,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
83,False,"{'e': 0.9302800000000001, 'a': 0.38}",20,0,-59.420882753381946,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
84,False,"{'e': 0.9286000000000001, 'a': 0.38}",25,12,-20.210449441932553,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'e': 0.9269000000000001, 'a': 0.38}",25,14,-47.470930870622894,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
86,False,"{'e': 0.92518, 'a': 0.38}",20,0,-121.38622470301212,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
87,False,"{'e': 0.92344, 'a': 0.38}",20,0,-92.61744177153223,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
88,False,"{'e': 0.92168, 'a': 0.38}",30,0,-108.16808643428425,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
89,False,"{'e': 0.9199, 'a': 0.38}",20,0,-114.12523557096318,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
90,False,"{'e': 0.9181, 'a': 0.38}",20,0,-155.32029127136084,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
91,False,"{'e': 0.91628, 'a': 0.38}",25,0,-86.71439251077422,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
92,False,"{'e': 0.91444, 'a': 0.38}",30,0,-135.4456949032972,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
